agent_id,survey_id,cell,mg,tenure,income,income_bracket,household_size,generations,has_vehicle,has_children,has_elderly,housing_cost_burden,mg_criteria_met,longitude,latitude,grid_x,grid_y,flood_zone,flood_depth,zipcode,rcv_building,rcv_contents,tp_score,cp_score,sc_score,pa_score,sp_score,flood_experience,flood_frequency,sfha_awareness,elevated,has_insurance,relocated,cumulative_damage,cumulative_oop,memory_flood_exp,memory_insurance,memory_social,memory_gov_trust,memory_place,memory_zone
H0011,677b71754229c2e3c5a7786f,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,1,True,False,False,True,True,-74.314456,40.878617,146,339,MEDIUM,0.41,8823,243657.68,83751.87,3.09,2.75,3.5,3.33,1.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0012,59c266758e6ea10001f7b6d1,MG-Owner,True,Owner,20000.0,"Less than $25,000",1,1,True,False,False,True,True,-74.291684,40.891669,228,292,HIGH,1.907,8302,243488.73,97656.28,3.64,2.38,3.0,3.11,3.67,False,0,True,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though Iam aware my area is in a f...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I have mixed feelings about government flood assistance programs.,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I know this area floods regularly.
H0013,676c3f1a779ded5787343064,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,1,True,False,False,True,True,-74.288629,40.886392,239,311,LOW,0.0,8758,301080.68,91922.1,2.82,3.12,3.17,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0014,66d96af9964c7ebb21f5d22c,MG-Owner,True,Owner,52500.0,"$50,000 to $54,999",5,2,True,False,False,True,True,-74.288907,40.894168,238,283,HIGH,3.293,7201,157717.51,53587.29,3.82,3.5,4.0,4.0,4.0,True,2,False,False,False,False,0.0,0.0,I experienced flooding at my home 1 to 5 years ago. The damage was significant and caused financi...,I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I trust that government programs like Blue Acres and FEMA can help people recover from floods.,This community is my home. My family has been here for 2 generations. I cannot imagine living any...,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0015,6643b8017df0302da95397b1,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",5,1,True,True,False,True,True,-74.315011,40.931658,144,148,HIGH,1.11,8234,166886.55,71757.36,2.45,3.0,2.33,2.22,2.33,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0016,663fa62ae5319431ffed039c,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,3,True,False,True,True,True,-74.229201,40.879728,453,335,LOW,0.0,8360,236536.69,96740.74,1.64,2.38,3.0,2.0,2.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0017,677b71754229c2e3c5a7786f,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,1,True,False,False,True,True,-74.294739,40.874451,217,354,HIGH,1.469,8823,206632.17,71099.68,3.09,2.75,3.5,3.33,1.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0018,5dce93c2e1022008013ad20b,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,3,True,False,True,True,True,-74.291129,40.880005,230,334,MEDIUM,0.145,8108,307681.08,128565.51,3.09,2.38,5.0,4.22,2.33,True,0,True,False,False,False,0.0,0.0,I experienced flooding at my home More than 10 years ago. The damage was significant and caused f...,I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,This community is my home. My family has been here for 3 generations. I cannot imagine living any...,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0019,66ef807190fe3df516136de7,MG-Owner,True,Owner,42500.0,"$40,000 to $44,999",5,1,True,True,False,True,True,-74.314733,40.931936,145,147,HIGH,0.713,7111,213232.34,98489.05,3.73,2.62,1.5,2.33,2.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0020,676c3f1a779ded5787343064,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,1,True,False,False,True,True,-74.243086,40.940267,403,117,LOW,0.0,8758,183295.3,55226.83,2.82,3.12,3.17,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0021,66ef807190fe3df516136de7,MG-Owner,True,Owner,42500.0,"$40,000 to $44,999",5,1,True,True,False,True,True,-74.268357,40.918328,312,196,HIGH,0.557,7111,434625.28,200433.47,3.73,2.62,1.5,2.33,2.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0022,6595f18f89eb0eb9a41c94b0,MG-Owner,True,Owner,20000.0,"Less than $25,000",3,1,True,False,False,True,True,-74.269468,40.900278,308,261,HIGH,0.999,8081,261662.82,115034.27,2.91,3.12,3.33,3.22,1.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0023,673622389e541878f09ff69a,MG-Owner,True,Owner,42500.0,"$40,000 to $44,999",5,4,True,True,True,True,True,-74.295849,40.877228,213,344,LOW,0.0,7305,285730.22,105163.04,3.0,2.12,3.5,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0024,6731d6e3c0f5542c912b8c25,MG-Owner,True,Owner,20000.0,"Less than $25,000",7,1,True,True,False,True,True,-74.251417,40.902777,373,252,HIGH,1.237,8010,182612.27,60462.17,3.91,3.75,3.17,3.78,3.0,True,4,True,False,True,False,0.0,0.0,I experienced flooding at my home Less than 1 year ago. The damage was significant and caused fin...,I have NFIP flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I have mixed feelings about government flood assistance programs.,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I know this area floods regularly.
H0025,6784a4f55aea2017f177ed85,MG-Owner,True,Owner,27500.0,"$25,000 to $29,999",3,1,True,False,True,True,True,-74.331951,40.968037,83,17,LOW,0.0,7936,237810.65,116870.29,1.27,2.12,3.83,3.11,1.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a low-risk area for flooding.
H0026,673622389e541878f09ff69a,MG-Owner,True,Owner,42500.0,"$40,000 to $44,999",5,4,True,True,True,True,True,-74.312234,40.927215,154,164,LOW,0.0,7305,289474.26,106329.37,3.0,2.12,3.5,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0027,5dea7a7df87f5519e686ff7b,MG-Owner,True,Owner,20000.0,"Less than $25,000",1,1,True,False,True,True,True,-74.275855,40.913607,285,213,LOW,0.0,8028,198242.6,63150.02,2.36,2.12,4.0,2.89,2.33,False,0,True,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though Iam aware my area is in a f...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0028,5dea7a7df87f5519e686ff7b,MG-Owner,True,Owner,20000.0,"Less than $25,000",1,1,True,False,True,True,True,-74.281964,40.89278,263,288,HIGH,1.184,8028,313405.85,100084.05,2.36,2.12,4.0,2.89,2.33,False,0,True,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though Iam aware my area is in a f...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I know this area floods regularly.
H0029,655fc09d0e4ff12b60147fb9,MG-Owner,True,Owner,32500.0,"$30,000 to $34,999",4,2,True,False,True,True,True,-74.242253,40.883338,406,322,HIGH,0.879,7302,233830.85,109783.32,3.09,3.88,3.0,4.44,2.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,This community is my home. My family has been here for 2 generations. I cannot imagine living any...,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0030,5dce93c2e1022008013ad20b,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,3,True,False,True,True,True,-74.307791,40.936934,170,129,MEDIUM,0.424,8108,256539.2,107937.64,3.09,2.38,5.0,4.22,2.33,True,0,True,False,False,False,0.0,0.0,I experienced flooding at my home More than 10 years ago. The damage was significant and caused f...,I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,This community is my home. My family has been here for 3 generations. I cannot imagine living any...,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0031,66ef807190fe3df516136de7,MG-Owner,True,Owner,42500.0,"$40,000 to $44,999",5,1,True,True,False,True,True,-74.29946,40.888336,200,304,MEDIUM,0.254,7111,233755.95,107860.99,3.73,2.62,1.5,2.33,2.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0032,677d50ee63c5cc384a8579b7,MG-Owner,True,Owner,100000.0,"More than $74,999",1,1,False,False,False,True,True,-74.258637,40.893057,347,287,HIGH,1.996,7302,488076.94,217656.13,2.64,2.88,3.83,3.33,3.0,True,2,True,False,True,False,0.0,0.0,I experienced flooding at my home 1 to 5 years ago. The damage was significant and caused financi...,I have Private flood insurance flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I have mixed feelings about government flood assistance programs.,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I know this area floods regularly.
H0033,663fa62ae5319431ffed039c,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,3,True,False,True,True,True,-74.315844,40.860289,141,405,HIGH,1.843,8360,278868.53,113567.99,1.64,2.38,3.0,2.0,2.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0034,62b7a842de71001331784ce7,MG-Owner,True,Owner,32500.0,"$30,000 to $34,999",6,5,True,True,True,True,True,-74.33445,40.899167,74,265,HIGH,3.628,8002,203868.73,100838.2,2.55,2.0,2.67,2.22,2.33,True,6,False,False,False,False,0.0,0.0,I experienced flooding at my home 1 to 5 years ago. The damage was significant and caused financi...,I do not currently have flood insurance. The premiums seem expensive relative to my income.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0035,65e226c42aa80c2ecbb565f2,MG-Owner,True,Owner,42500.0,"$40,000 to $44,999",4,1,True,True,False,True,True,-74.303347,40.860011,186,406,LOW,0.0,7848,358365.38,134640.34,2.09,2.75,3.83,3.11,2.33,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a low-risk area for flooding.
H0036,663fa62ae5319431ffed039c,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,3,True,False,True,True,True,-74.276133,40.965538,284,26,LOW,0.0,8360,194131.64,79673.2,1.64,2.38,3.0,2.0,2.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0037,655fc09d0e4ff12b60147fb9,MG-Owner,True,Owner,32500.0,"$30,000 to $34,999",4,2,True,False,True,True,True,-74.268357,40.915829,312,205,HIGH,1.421,7302,298105.87,138881.84,3.09,3.88,3.0,4.44,2.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,This community is my home. My family has been here for 2 generations. I cannot imagine living any...,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0038,6329bd3e699f53922a5da47c,MG-Owner,True,Owner,20000.0,"Less than $25,000",4,1,True,True,False,True,True,-74.265858,40.963316,321,34,LOW,0.0,7480,155537.77,65901.97,2.91,3.0,3.17,3.56,1.33,False,0,True,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though Iam aware my area is in a f...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a low-risk area for flooding.
H0039,6654f1a24ff45623af24e3aa,MG-Owner,True,Owner,20000.0,"Less than $25,000",3,1,True,False,False,True,True,-74.279743,40.949986,271,82,HIGH,1.25,7026,187979.66,88790.57,2.82,2.0,1.0,1.22,1.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0040,5dce93c2e1022008013ad20b,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,3,True,False,True,True,True,-74.315566,40.937212,142,128,HIGH,0.559,8108,297034.41,123409.01,3.09,2.38,5.0,4.22,2.33,True,0,True,False,False,False,0.0,0.0,I experienced flooding at my home More than 10 years ago. The damage was significant and caused f...,I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,This community is my home. My family has been here for 3 generations. I cannot imagine living any...,My property is in a high-risk flood zone. I know this area floods regularly.
H0041,6595f18f89eb0eb9a41c94b0,MG-Owner,True,Owner,20000.0,"Less than $25,000",3,1,True,False,False,True,True,-74.34528,40.875284,35,351,LOW,0.0,8081,349439.2,154072.76,2.91,3.12,3.33,3.22,1.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a low-risk area for flooding.
H0042,67158fc2d3dcb39fb10908dc,MG-Owner,True,Owner,20000.0,"Less than $25,000",5,1,True,False,True,True,True,-74.306124,40.860566,176,404,HIGH,1.434,8882,294771.38,91132.96,4.0,3.38,3.0,2.33,1.67,True,2,False,False,False,False,0.0,0.0,I experienced flooding at my home 1 to 5 years ago. The damage was significant and caused financi...,I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0043,677b71754229c2e3c5a7786f,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,1,True,False,False,True,True,-74.254194,40.954707,363,65,LOW,0.0,8823,270452.13,93462.75,3.09,2.75,3.5,3.33,1.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a low-risk area for flooding.
H0044,67aa3812e58326668a4dc0e2,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,1,True,False,False,True,True,-74.307235,40.894446,172,282,HIGH,3.477,7105,255816.01,91550.82,4.64,3.0,2.0,3.44,1.33,True,2,True,False,True,False,0.0,0.0,I experienced flooding at my home 1 to 5 years ago. The damage was significant and caused financi...,I have Private flood insurance flood insurance for my property.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I know this area floods regularly.
