id,elevated,has_insurance,relocated,trust_in_insurance,trust_in_neighbors,memory,flood_threshold
Agent_27,FALSE,FALSE,FALSE,0.21,0.45,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods",0.62
Agent_28,TRUE,FALSE,FALSE,0.23,0.55,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.52
Agent_29,FALSE,FALSE,FALSE,0.24,0.39,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.63
Agent_30,FALSE,FALSE,FALSE,0.4,0.51,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.52
Agent_31,FALSE,FALSE,FALSE,0.2,0.44,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.72
Agent_32,FALSE,FALSE,FALSE,0.34,0.45,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.76
Agent_33,FALSE,TRUE,FALSE,0.47,0.42,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.4
Agent_34,FALSE,FALSE,FALSE,0.22,0.49,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims",0.72
Agent_35,FALSE,FALSE,FALSE,0.26,0.39,"Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.77
Agent_36,TRUE,FALSE,FALSE,0.35,0.54,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.43
Agent_37,FALSE,FALSE,FALSE,0.4,0.41,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.66
Agent_38,FALSE,FALSE,FALSE,0.39,0.37,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.63
Agent_39,FALSE,FALSE,FALSE,0.39,0.53,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.51
Agent_40,FALSE,FALSE,FALSE,0.23,0.39,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.63
Agent_41,FALSE,FALSE,FALSE,0.23,0.39,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.9
Agent_42,FALSE,TRUE,FALSE,0.44,0.49,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.82
Agent_43,FALSE,FALSE,FALSE,0.22,0.43,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.54
Agent_44,FALSE,FALSE,FALSE,0.31,0.4,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.82
Agent_45,FALSE,FALSE,FALSE,0.38,0.37,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.69
Agent_46,FALSE,FALSE,FALSE,0.43,0.46,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.54
Agent_47,FALSE,FALSE,FALSE,0.26,0.49,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.89
Agent_48,FALSE,FALSE,FALSE,0.47,0.48,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.66
Agent_49,FALSE,FALSE,FALSE,0.21,0.46,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.79
Agent_50,FALSE,FALSE,FALSE,0.34,0.39,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.81
Agent_51,FALSE,FALSE,FALSE,0.35,0.49,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.71
Agent_52,FALSE,FALSE,FALSE,0.33,0.45,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.72
Agent_53,FALSE,FALSE,FALSE,0.23,0.46,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.43
Agent_54,FALSE,FALSE,FALSE,0.3,0.51,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.87
Agent_55,FALSE,FALSE,FALSE,0.46,0.39,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.56
Agent_56,FALSE,FALSE,FALSE,0.21,0.55,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.6
Agent_57,FALSE,FALSE,FALSE,0.31,0.47,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.53
Agent_58,FALSE,TRUE,FALSE,0.33,0.42,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods",0.48
Agent_59,FALSE,FALSE,FALSE,0.44,0.37,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.53
Agent_60,FALSE,TRUE,FALSE,0.39,0.37,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.72
Agent_61,FALSE,TRUE,FALSE,0.35,0.47,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.8
Agent_62,FALSE,FALSE,FALSE,0.32,0.54,"The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.55
Agent_63,FALSE,FALSE,FALSE,0.27,0.44,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.43
Agent_64,FALSE,FALSE,FALSE,0.48,0.55,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.68
Agent_65,FALSE,FALSE,FALSE,0.48,0.42,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.57
Agent_66,FALSE,FALSE,FALSE,0.22,0.35,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.4
Agent_67,FALSE,TRUE,FALSE,0.28,0.54,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.88
Agent_68,FALSE,FALSE,FALSE,0.24,0.44,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.66
Agent_69,FALSE,TRUE,FALSE,0.37,0.53,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.54
Agent_70,FALSE,TRUE,FALSE,0.4,0.47,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.5
Agent_71,FALSE,FALSE,FALSE,0.41,0.41,"The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.47
Agent_72,FALSE,FALSE,FALSE,0.27,0.43,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.56
Agent_73,FALSE,FALSE,FALSE,0.21,0.44,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.6
Agent_74,FALSE,FALSE,FALSE,0.21,0.41,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents",0.69
Agent_75,FALSE,FALSE,FALSE,0.42,0.52,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.68
Agent_76,FALSE,FALSE,FALSE,0.3,0.49,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.57
Agent_77,FALSE,TRUE,FALSE,0.42,0.43,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.73
Agent_78,FALSE,FALSE,FALSE,0.39,0.54,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.6
Agent_79,FALSE,FALSE,FALSE,0.42,0.49,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.56
Agent_80,FALSE,FALSE,FALSE,0.22,0.46,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.86
Agent_81,FALSE,TRUE,FALSE,0.41,0.53,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.6
Agent_82,FALSE,FALSE,FALSE,0.21,0.53,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.68
Agent_83,FALSE,TRUE,FALSE,0.44,0.46,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.55
Agent_84,FALSE,TRUE,FALSE,0.43,0.37,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.76
Agent_85,FALSE,FALSE,FALSE,0.25,0.48,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.75
Agent_86,FALSE,FALSE,FALSE,0.32,0.45,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.56
Agent_87,FALSE,FALSE,FALSE,0.27,0.53,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.75
Agent_88,FALSE,FALSE,FALSE,0.34,0.46,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.78
Agent_89,FALSE,FALSE,FALSE,0.21,0.49,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.88
Agent_90,FALSE,FALSE,FALSE,0.23,0.42,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.43
Agent_91,FALSE,FALSE,FALSE,0.49,0.47,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.64
Agent_92,FALSE,TRUE,FALSE,0.37,0.44,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims",0.61
Agent_93,FALSE,TRUE,FALSE,0.43,0.35,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.52
Agent_94,FALSE,TRUE,FALSE,0.38,0.35,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.56
Agent_95,FALSE,TRUE,FALSE,0.39,0.45,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.63
Agent_96,FALSE,FALSE,FALSE,0.37,0.5,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.75
Agent_97,FALSE,FALSE,FALSE,0.42,0.47,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.64
Agent_98,FALSE,TRUE,FALSE,0.29,0.47,"A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.87
Agent_99,TRUE,FALSE,FALSE,0.4,0.55,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.51
Agent_100,FALSE,FALSE,FALSE,0.38,0.42,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.54
