group,run,agent_id,year,rr_type,ta,action,sim_retry_count,gov_intervention,trace_outcome,trace_retry,trace_skill,trace_rule,trace_line
Group_B,Run_1,Agent_98,6,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,568
Group_B,Run_1,Agent_51,10,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,820
Group_B,Run_2,Agent_74,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,274
Group_B,Run_2,Agent_85,9,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,765
Group_C,Run_1,Agent_27,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,227
Group_C,Run_1,Agent_41,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,241
Group_C,Run_1,Agent_43,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,243
Group_C,Run_1,Agent_50,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,250
Group_C,Run_1,Agent_89,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,288
Group_C,Run_1,Agent_34,4,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,333
Group_C,Run_1,Agent_40,4,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,339
Group_C,Run_1,Agent_41,4,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,340
Group_C,Run_1,Agent_53,4,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,352
Group_C,Run_1,Agent_68,4,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,366
Group_C,Run_1,Agent_89,4,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,387
Group_C,Run_1,Agent_68,5,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,455
Group_C,Run_1,Agent_43,6,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,519
Group_C,Run_1,Agent_85,8,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block ; elevation_block ; Unknown,705
Group_C,Run_1,Agent_14,9,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,728
Group_C,Run_1,Agent_62,9,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,757
Group_C,Run_1,Agent_14,10,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,799
Group_C,Run_1,Agent_40,10,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,816
Group_C,Run_1,Agent_53,10,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,823
Group_C,Run_1,Agent_85,10,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,846
Group_C,Run_2,Agent_89,6,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,556
Group_C,Run_2,Agent_89,9,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,793
