agent_id,elevated,has_insurance,relocated,trust_ins,trust_neighbors,flood_threshold,memory
Agent_23,False,True,False,0.2,0.39,0.72,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_24,False,True,False,0.47,0.45,0.68,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents
Agent_25,False,False,False,0.36,0.47,0.68,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims
Agent_26,False,True,False,0.29,0.35,0.42,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_27,False,False,False,0.22,0.51,0.87,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_28,False,False,False,0.3,0.48,0.46,"A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_29,False,False,False,0.26,0.4,0.75,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_30,False,False,False,0.31,0.43,0.85,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods"
Agent_31,False,True,False,0.39,0.42,0.6,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims
Agent_32,False,False,False,0.43,0.55,0.57,"Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_33,False,False,False,0.4,0.36,0.78,"The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_34,False,True,False,0.41,0.45,0.59,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims"
Agent_35,False,True,False,0.28,0.53,0.78,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims
Agent_36,False,False,False,0.39,0.38,0.49,"The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_37,False,False,False,0.33,0.48,0.45,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_38,False,True,False,0.39,0.46,0.41,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_39,False,True,False,0.42,0.55,0.76,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents
Agent_40,False,False,False,0.23,0.36,0.45,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods
Agent_41,False,True,False,0.22,0.45,0.9,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods
Agent_42,False,True,False,0.33,0.47,0.41,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods"
Agent_43,False,False,False,0.28,0.52,0.57,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_44,False,True,False,0.49,0.49,0.57,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods
Agent_45,False,False,False,0.27,0.54,0.82,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_46,False,False,False,0.38,0.37,0.63,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_47,False,True,False,0.43,0.53,0.84,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years"
Agent_48,False,True,False,0.5,0.54,0.5,"Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_49,False,False,False,0.24,0.43,0.8,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_50,False,True,False,0.34,0.35,0.49,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_51,False,False,False,0.31,0.48,0.75,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods
Agent_52,False,True,False,0.25,0.42,0.59,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_53,False,False,False,0.29,0.53,0.55,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_54,False,True,False,0.45,0.43,0.57,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents
Agent_55,False,False,False,0.29,0.41,0.42,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods
Agent_56,False,True,False,0.49,0.44,0.58,"Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_57,False,True,False,0.29,0.47,0.57,"Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_58,False,False,False,0.4,0.47,0.86,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_59,False,True,False,0.43,0.44,0.4,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods"
Agent_60,False,False,False,0.44,0.43,0.68,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_61,False,False,False,0.44,0.41,0.74,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_62,False,False,False,0.26,0.42,0.58,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents"
Agent_63,False,True,False,0.31,0.52,0.82,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_64,False,False,False,0.4,0.53,0.65,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods"
Agent_65,False,True,False,0.43,0.53,0.83,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims"
Agent_66,False,True,False,0.49,0.38,0.61,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods
Agent_67,False,False,False,0.45,0.36,0.85,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods
Agent_68,False,True,False,0.25,0.44,0.61,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_69,False,True,False,0.43,0.36,0.49,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_70,False,False,False,0.29,0.35,0.79,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_71,False,False,False,0.47,0.54,0.57,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_72,False,True,False,0.41,0.47,0.75,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_73,False,False,False,0.38,0.53,0.64,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_74,False,True,False,0.29,0.4,0.71,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods
Agent_75,False,False,False,0.34,0.48,0.41,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_76,False,False,False,0.25,0.38,0.81,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents
Agent_77,False,False,False,0.44,0.43,0.77,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_78,False,True,False,0.4,0.52,0.63,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_79,False,False,False,0.47,0.4,0.46,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods
Agent_80,False,True,False,0.34,0.43,0.77,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_81,False,True,False,0.2,0.42,0.87,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_82,False,False,False,0.2,0.39,0.51,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims
Agent_83,False,True,False,0.31,0.5,0.8,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_84,False,False,False,0.39,0.42,0.45,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents
Agent_85,False,False,False,0.41,0.46,0.75,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods
Agent_86,False,False,False,0.47,0.54,0.87,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_87,False,True,False,0.22,0.42,0.5,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods
Agent_88,False,False,False,0.34,0.54,0.75,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents"
Agent_89,False,True,False,0.46,0.38,0.88,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods
Agent_90,False,True,False,0.46,0.53,0.64,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents
Agent_91,False,True,False,0.36,0.54,0.63,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_92,False,True,False,0.34,0.37,0.55,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_93,False,False,False,0.44,0.42,0.72,"The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_94,False,False,False,0.33,0.46,0.51,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_95,False,False,False,0.4,0.55,0.45,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_96,False,True,False,0.48,0.44,0.83,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_97,False,True,False,0.21,0.44,0.86,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods
Agent_98,False,True,False,0.37,0.48,0.89,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims
Agent_99,False,True,False,0.39,0.44,0.48,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods"
Agent_100,False,False,False,0.47,0.43,0.76,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
